title,text
article purpose law followi ng terms expressions shall meanings herein assi gned unless conte xt requires otherwis e employer na tural legal pers employing one workers n return kind wage worker male fema le working wage kind servi ce anage ment control employer albeit sight term applies also labourers employees employer service governed provisions.,article purpose law followi ng terms expressions shall meanings herein assi gned unless conte xt requires otherwis e employer na tural legal pers employing one workers n return kind wage worker male fema le working wage kind servi ce anage ment control employer albeit sight term applies also labourers employees employer service governed provisions law firm economic technical dustrial commercial unit wher e personnel employed whose objective produce market commodities provide se rvices kind employme nt contr act agreemen definite indefinite term concl uded employer emplo yee wh ereby latter undertakes work employ er service nd h manage ment control turn certain wage employer undertakes pay work human inte llectual technical exerted return wage irrespective whether work permanent temporary temporary work assig nment carried ut within specified period time agricultur al work work involving ploughing cultivation harvesting breeding cattle poultry silkworms bees like continuous service uninterrupted service sa employer legal successor service commen cement date wage consideratio n cash kind given worker return service employment contract whether yearly monthly weekly daily hourly piece meal output commission basi wage sh include cost living allowanc shall also include grant given worker reward f honesty efficiency provided amoun ts stipul ated employme nt contract f irm internal regulations customarily granted th firm workers regard part wa ge donations basic wage wage specified valid emplo yment contract exclus ive allowances whatsoever occupational injury diseas es listed schedule ttached hereto injury sustained worker duri ng reason carrying duties accident sustained work er way back work shall consider ed occupational injury provided jour ney fr om work made witho ut break lingering r diversion fr om normal rout translator note references masculine gender translated text shall b e regarded references feminine neuter genders well similarly references nouns pronouns singular form shall equally denote plural form uae labour law labour department branches minist ry labo ur social affairs charge labour affairs emirates federation general provisions
article arabic shall language used records contracts files data etc. provided law orders regulations issued implementation thereof arab ic shall also used. Arabic will prevail over any other language used in the same article or in documents issued by the employer. The use of other languages in the article will be governed by the law.,article arabic shall language used records contracts files data etc provided law orders regulations issued implementation thereof arab ic shall also used instr uctions circulars issued employees employer employ er besides arabic uses foreign language th e arabic rsion shall prevail
article provisions law shall apply following categories. Employees federal governme nt governmental depa rtmen ts emirat es federation emplo yees municipalities ther empla yees federal local pu blic authorities corporations well employee recruited federal local govern mental projects members armed forces police securit domestic servants employed private households.,article provisions law shall apply following categories employees federal governme nt governmental depa rtmen ts emirat es federation emplo yees municipalities ther emplo yees federal local pu blic authorities corporations well employee recruited federal local govern mental projects members armed forces police securit domestic servants employed private households like farming grazing workers working agricultur al establishments process wn products permanently employed operate repair mechanical equipment required agricultural work
article payments due employ ee beneficiaries hereunder sh constitute first priority ch arge employer moveable nd immovable property shall paid immediately upon settlement legal expenses sums due public treasury sharia alimony awarded islamic law wife children wife children are first in line for alimony payments.,article payments due employ ee beneficiaries hereunder sh constitute first priority ch arge employer moveable nd immovable property shall paid immediately upon settlement legal expenses sums due public treasury sharia alimony awarded islamic law wife children
"article actions initiated employees beneficiaries law shall exempt court f ees stages litigation execution shall dealt expeditious manner upon dismissal case. Court may order plaintiff pay part expenses court may order defendant to pay part of expenses. Court can order plaintiff to pay up to $10,000 in legal fees.",article actions initiated employees beneficiaries law shall exempt court f ees stages litigation execution shall dealt expeditious manner upon dismissal case court may order plaintiff pay part expenses
article without prejudice rules provid ed law concerning co llective labour dispu tes employer work er beneficiary thereof disputes rights provided ny la w shall file application compet ent labour de partment sh summon parties take whatever action deems necessary settle dispute amicably amicable settlement reached said departme nt shal l within two weeks da te application refer dispute compet ent court memorand um containing sum mary dispute argumen ts.,article without prejudice rules provid ed law concerning co llective labour dispu tes employer work er beneficiary thereof disputes rights provided ny la w shall file application compet ent labour de partment sh summon parties take whatever action deems necessary settle dispute amicably amicable settlement reached said departme nt shal l within two weeks da te application refer dispute compet ent court memorand um containing sum mary dispute argumen ts parties department comm ents court hall three da ys date receiving application fix heari ng date notify parties accordingly th e court may summon representative labo ur depar tment explain conten memorand um submitted uae labour law cases claim rights provided law shall heard brought court lapse one ye ar da te accru al shall claim admitted procedures stated article compli ed
"article conditions contrary to provisions of the law may null void unless precedent date effectiven ess is set before the law is changed. The law does not provide for an exception to the law in the case of an advanta geous worker. In this case, the law states that the law applies to all workers, not just those who are employed by the government.",article conditions contrary provisions law albeit precedent date effectiven ess shall null void unless advanta geous worker
article perio ds dates refe rred herein shall calculat ed according gregorian calendar purpose law calendar year regarded days calend ar month days unle ss otherwise specified employment contrac uae labour law chapter ii employment workers children women section employment workers artic le work inherent right nationals unit ed arab emirates non nationals may engage work within state exce pt accordan ce th e conditions stipulated law.,article perio ds dates refe rred herein shall calculat ed according gregorian calendar purpose law calendar year regarded days calend ar month days unle ss otherwise specified employment contrac uae labour law chapter ii employment workers children women section employment workers artic le work inherent right nationals unit ed arab emirates non nationals may engage work within state exce pt accordan ce th e conditions stipulated law ex ecutive orders
"article national workers available preference employme nt shall given workers arab nationalitie workers nationalities. Article national workers are available preference for jobs in the following countries: Romania, Bulgaria, Moldova, Ukraine, Romania, Russia, Bulgaria and Ukraine. Article: National workers are offered preference for work in the respective countries.",article national workers available preference employme nt shall given workers arab nationalitie workers nationalities
article shall established within labour departme nt section th e employment national shall ass ume following functions procuring employment opportunities suitable nation. assisting employers supplying demand national workers needed registering nation als unemployed seeking bett er employ me nt special register registration hall made pplican request register ed jobseeker.,article shall established within labour departme nt section th e employment national shall ass ume following functions procuring employment opportunities suitable nation als assisting employers supplying demand national workers needed registering nation als unemployed seeking bett er employme nt special register registration hall made pplican request register ed jobseeker sh issued free charge certificate registration day applicatio registration certificate shall assign ed serial number shall contain applicant nam e age place residence occupation qualification past experience
